,Date,Close_AAPL,Close_AMZN,Close_META,Close_MSFT,Close_ZM,High_AAPL,High_AMZN,High_META,High_MSFT,High_ZM,Low_AAPL,Low_AMZN,Low_META,Low_MSFT,Low_ZM,Open_AAPL,Open_AMZN,Open_META,Open_MSFT,Open_ZM,Volume_AAPL,Volume_AMZN,Volume_META,Volume_MSFT,Volume_ZM
89,2022-05-11,144.5346,105.372,188.02177,254.99794,84.8,153.36453,110.156,199.90637,265.57758,94.16,143.85387,104.4285,187.55356,253.77458,84.17,151.4407,108.1035,195.58289,260.01862,88.93,142689800.0,109704000.0,31153400.0,48975900.0,6182600.0
90,2022-05-12,140.64746,106.9305,190.51227,249.90877,84.97,144.23863,110.7805,197.29636,254.34224,87.79,136.93791,102.4055,184.07684,244.69234,79.03,140.85464,102.75,186.34816,252.1989,81.13,182602000.0,132026000.0,38262200.0,51033800.0,7178800.0
91,2022-05-13,145.1364,113.055,197.86417,255.55583,94.84,146.11313,113.184,199.12933,257.43494,95.628,141.19006,107.8,190.55211,249.9088,88.254,142.6502,109.069,191.84715,251.86618,88.72,113990900.0,93684000.0,24549800.0,34925100.0,5687600.0
92,2022-05-16,143.58748,110.8105,199.27876,255.92776,88.92,145.54092,113.9925,204.58849,260.15573,95.83,142.24573,110.354,195.1844,250.32965,88.66,143.59735,113.1,196.30016,254.42058,93.43,86643800.0,74566000.0,27112600.0,32550900.0,4501300.0
93,2022-05-17,147.23785,115.3685,201.84895,261.1344,90.94,147.76074,115.8,204.67816,262.6122,95.1,144.71219,111.2765,197.60516,256.86728,86.409,146.86295,113.275,201.35086,260.4395,91.36,78336300.0,76448000.0,24872700.0,28828800.0,4208800.0
94,2022-05-18,138.93077,107.1125,191.50847,249.245,84.69,145.38303,112.853,200.23512,258.58383,91.11,138.0231,106.249,190.90079,247.95993,84.04,144.87987,111.4395,199.23894,257.99524,88.68,109742900.0,108380000.0,23960000.0,31356000.0,3854200.0
95,2022-05-19,135.50734,107.319,190.56206,248.32289,90.94,139.75952,110.034,194.54683,252.76671,93.49,134.7674,106.193,188.8785,247.08687,84.685,138.0034,106.2805,190.4724,249.06842,85.74,136095600.0,88142000.0,24446900.0,32692300.0,4746900.0
96,2022-05-20,135.74414,107.591,192.80348,247.7539,89.74,138.81242,109.898,197.15686,253.62012,94.85,130.83095,105.0095,187.15506,241.75037,85.55,137.22401,109.5685,194.22804,252.34483,92.62,137426100.0,99500000.0,31465600.0,39199300.0,4741400.0
97,2022-05-23,141.19006,107.557,195.48325,255.69002,89.33,141.33804,108.819,196.24036,256.52383,90.25,135.80331,103.95,190.51224,248.6074,85.57,135.94142,108.461,194.4472,250.62822,89.87,117726300.0,107798000.0,25059200.0,33175400.0,11240300.0
98,2022-05-24,138.47694,104.1,180.59015,254.6796,94.34,140.06534,105.4,182.981,256.35706,97.09,135.4876,101.26,175.43982,248.67606,87.33,138.9209,104.025,179.86293,252.98253,94.56,104132700.0,102934000.0,50406300.0,29043900.0,27414900.0
99,2022-05-25,138.63481,106.775,183.13045,257.5244,102.34,139.88776,108.175,184.74428,259.5452,104.266,136.48405,103.65,178.63762,252.237,94.0,136.57285,103.6555,179.71349,253.22778,94.14,92482700.0,93120000.0,28030200.0,28547900.0,13892000.0
100,2022-05-26,141.85104,111.0775,190.90077,260.8401,107.0,142.40353,112.6655,192.0962,262.02707,108.17,135.30013,107.4535,181.56642,256.45514,101.77,135.54677,107.97,182.18407,257.27917,101.895,90601500.0,93002000.0,23056500.0,25002100.0,10633600.0
101,2022-05-27,147.63248,115.1465,194.38745,268.04037,110.42,147.67194,115.187,194.58669,268.1385,111.24,143.31123,112.628,189.07773,262.46848,105.55,143.4395,113.55,190.63179,263.37097,108.0,90978500.0,93660000.0,22562700.0,26910800.0,7097100.0
102,2022-05-31,146.84319,120.2095,192.90314,266.69647,107.45,148.63878,121.9945,196.84807,269.5413,112.87,144.87001,115.675,191.27933,263.8124,105.58,147.07011,116.28,194.14838,267.3439,112.64,103718400.0,144634000.0,26131100.0,37827700.0,5930200.0
103,2022-06-01,146.71494,121.684,187.92215,267.236,107.65,149.70428,125.179,198.7707,272.4057,110.89,145.69875,120.6225,184.296,264.90128,104.92,147.88896,122.256,195.76219,269.9631,107.96,74286600.0,127528000.0,36623500.0,25292200.0,4700800.0
104,2022-06-02,149.18141,125.511,198.10326,269.3549,112.24,149.2406,125.61,200.17534,269.42355,114.08,144.88977,120.045,187.01561,256.62192,107.03,145.84676,121.684,187.73286,259.4177,107.43,72348100.0,100560000.0,31951600.0,44008200.0,4985900.0
105,2022-06-03,143.42963,122.35,190.05403,264.88165,109.42,145.98488,124.4,195.86185,268.2464,111.8,142.52197,121.0465,189.05783,263.3023,107.3,144.92923,124.2,195.23424,265.16614,109.66,88570300.0,97604000.0,19465000.0,28059000.0,3882100.0
106,2022-06-06,144.17941,124.79,193.5108,263.63583,111.01,146.57681,128.99,196.17064,268.9625,112.91,142.95604,123.81,187.68306,262.13495,108.51,145.05746,125.25,193.2518,266.88284,112.33,71598400.0,135269000.0,30574200.0,22400300.0,2867500.0
